"","TAXKEY","HSE_NBR","SFX","DIR","STREET","STTYPE","UNIT_NBR","ZIP_CODE","LAND_USE","RCD_NBR","UPD_DATE","WARD","MAIL_ERROR_COUNT","MAIL_STATUS","RES_COM_FLAG"
"160221",840297000,5733,"","W","FOUNTAIN","AV","",532234227,8810,233379,830813,0,0,"","R"
"78133",4580430000,1747,"","S","29TH","ST","",532152205,8820,138219,830813,0,0,"","R"
"108854",5070138000,2837,"","S","7TH","ST","",532153907,8810,170587,830813,0,0,"","R"
"135817",5510983100,1930,"","W","HOWARD","AV","",532211930,5541,203669,830104,0,0,"","C"
"148337",2900131000,6700,"","W","APPLETON","AV","335",532162750,8830,220374,110822,0,0,"","R"
"56998",4979982000,2408,"","S","10TH","ST","",532153249,8820,114186,830813,0,0,"","R"
"40569",3131712000,2929,"","N","PALMER","ST","",532122428,8820,95314,151021,0,0,"","R"
"92077",5120730000,2705,"","S","46TH","ST","",532193207,8810,152996,830813,0,0,"","R"
"56908",4610697000,1822,"A","S","10TH","ST","",532043303,8830,114095,830813,0,0,"","R"
"79852",4581264000,1612,"","S","31ST","ST","",532151933,8820,140101,830813,0,0,"","R"
"62786",6439944300,5409,"","S","15TH","PL","",532214326,8810,120372,100412,0,0,"","R"
"36459",5269958100,8430,"","W","MORGAN","AV","8",532281518,8830,90782,830813,0,0,"","R"
"73622",6690407000,5646,"","S","24TH","ST","",532214214,8810,132867,830813,0,0,"","R"
"149239",3590631110,1633,"","N","ARLINGTON","PL","402",532022279,8830,221330,110721,0,0,"","R"
"499",4661259000,2210,"","S","ALLIS","ST","",532071321,8810,50514,830813,0,0,"","R"
"101231",3290112000,2379,"","N","58TH","ST","",532102209,8820,162442,830813,0,0,"","R"
"89773",1921159000,5416,"","N","42ND","ST","",532094627,8810,150533,830813,0,0,"","R"
"41131",4601452000,1550,"","S","PEARL","ST","",532042728,8810,95917,830813,0,0,"","R"
"59077",3522611113,1818,"","N","12TH","ST","",532051723,8830,116421,60330,0,0,"","R"
"121789",340724000,9060,"K","N","95TH","ST","",532246705,8811,183980,81117,0,0,"","R"
"86224",5110193000,3069,"","S","38TH","ST","4",532153521,8830,146864,830813,0,0,"","R"
"36417",5599986200,7919,"","W","MORGAN","AV","4",532201007,8830,90740,830813,0,0,"","R"
"118752",3231526100,2612,"","N","9TH","ST","",532063115,8820,180814,140110,0,0,"","R"
"108469",2830900000,3410,"","N","7TH","ST","",532121451,8810,170166,60821,0,0,"","R"
"97706",3061347000,2812,"","N","53RD","ST","",532101613,8820,158841,830813,0,0,"","R"
"12732",5030837000,2868,"","S","DELAWARE","AV","",532072560,8810,63918,830813,0,0,"","R"
"7853",2170074000,10955,"","W","CAMERON","AV","",532253814,8810,58570,830813,0,0,"","R"
"150630",2240743000,7771,"","W","BECKETT","AV","",532185317,8810,222893,830813,0,0,"","R"
"66423",5511048000,3806,"","S","18TH","ST","",532211556,8810,124572,830813,0,0,"","R"
"103119",3050091000,2925,"","N","60TH","ST","",532101402,8820,164659,120918,0,0,"","R"
"120347",340524000,8853,"F","N","SWAN","RD","",532242055,8811,182507,81117,0,0,"","R"
"137641",6899971110,1565,"ADJ","W","RAMSEY","AV","",532210000,7711,205870,90708,0,0,"N","C"
"85384",3661845000,1511,"","N","38TH","ST","",532082329,8820,146010,130919,0,0,"","R"
"68034",4620828000,1724,"","S","2ND","ST","",532044007,8820,126382,61204,0,0,"","R"
"53607",3890011000,2314,"","W","WELLS","ST","1",532331819,8830,110048,151216,0,0,"V","R"
"65387",4692803000,2168,"","S","17TH","ST","",532150000,8880,123422,120719,0,0,"N","C"
"159892",2120654100,6845,"","W","FOND DU LAC","AV","",532183918,8810,233022,830813,0,0,"","R"
"12847",5410233000,3300,"","S","DELAWARE","AV","",532073704,8810,64041,830813,0,0,"","R"
"48704",3560170100,2114,"","N","SUMMIT","AV","12",532021322,8830,104480,860422,0,0,"","R"
"11071",2930682000,9001,"","W","CONCORDIA","AV","",532223637,8810,62186,161017,0,0,"","R"
"10587",4990286100,104,"","E","CLIFFORD","ST","",532071530,8810,61642,150501,0,0,"","R"
"21904",6240206200,1340,"","W","HOLMES","AV","1",532213574,8830,73943,830813,0,0,"","R"
"107726",4891456100,2675,"","S","68TH","ST","2",532192617,8830,169294,830813,0,0,"","R"
"41763",4249993000,3032,"","W","PIERCE","ST","2",532151266,8830,96655,90105,0,0,"","R"
"150112",6890407000,6101,"","S","AVALON","ST","",532215104,8810,222311,830813,0,0,"","R"
"87742",3660542000,1344,"","N","40TH","ST","",532082842,8820,148470,830813,0,0,"","R"
"152020",3190122100,2400,"","E","BRADFORD","AV","302",532114166,8830,224352,90427,0,0,"","R"
"151156",1891024000,6447,"","W","BIRCH","AV","",532183032,8880,223450,181101,0,0,"N","C"
"97064",2660459000,3725,"","N","52ND","ST","",532162938,8820,158194,830813,0,0,"","R"
